Symbol,Description,Price,Change %,Volume,Rel Volume,Market cap,P/E,"EPS dilTTM","EPS dil growthTTM YoY","Div yield %TTM",Sector,Analyst Rating
AAM,AA Mission Acquisition Corp.D,10.06 USD,0.001,8.62 K,0.1,529.15 M USD,—,—,—,0.00%,Finance,—
AAOI,"Applied Optoelectronics, Inc.D",37.99 USD,0.0701,4.94 M,0.83,1.71 B USD,—,−2.07 USD,0.027,0.00%,Electronic technology,Buy
ACA,"Arcosa, Inc.D",110.58 USD,0.0207,273.16 K,1.04,5.39 B USD,42.07,2.63 USD,−55.30%,0.18%,Producer manufacturing,Strong buy
ACM,AECOMD,116.31 USD,0.0333,1.58 M,1.38,15.41 B USD,39.37,2.95 USD,6.7108,0.76%,Industrial services,Buy
ADSK,"Autodesk, Inc.D",321.27 USD,0.0186,1.91 M,1.3,69.07 B USD,65.81,4.88 USD  ,0.2083,0.00%,Technology services,Buy
AEE,Ameren CorporationD,93.81 USD,−0.17%,1.11 M,0.64,25.04 B USD,22.07,4.25 USD,−3.46%,2.81%,Utilities,Buy
AFG,"American Financial Group, Inc.D",146.47 USD,0.0186,519.09 K,1.36,12.29 B USD,13.72,10.67 USD,0.0511,2.00%,Finance,Neutral
AFRM,"Affirm Holdings, Inc.D",66.55 USD,0.0123,12.43 M,0.77,20.9 B USD,—,−1.43 USD,0.5303,0.00%,Finance,Buy
AGFY,Agrify CorporationD,47.62 USD,0.3235,774.43 K,0.98,72.85 M USD,—,−10.81 USD,0.9865,0.00%,Producer manufacturing,—
AGYS,"Agilysys, Inc.D",137.48 USD,0.0417,210.21 K,0.93,3.84 B USD,39.23,3.50 USD,6.4972,0.00%,Technology services,Strong buy
AIT,"Applied Industrial Technologies, Inc.D",277.11 USD,0.0293,295.24 K,1.24,10.65 B USD,28.26,9.81 USD,0.0586,0.53%,Distribution services,Buy
AIZ,"Assurant, Inc.D",226.15 USD,0.0041,352.37 K,0.78,11.6 B USD,16.13,14.02 USD,0.4279,1.27%,Finance,Buy
AJG,Arthur J. Gallagher & Co.D,304.29 USD,0.0061,626 K,0.78,66.76 B USD,57.86,5.26 USD,0.0084,0.77%,Finance,Buy
ALAB,"Astera Labs, Inc.D",102.28 USD,−1.77%,4.76 M,0.86,16.22 B USD,—,−0.60 USD,−54.39%,0.00%,Electronic technology,Strong buy
ALL,Allstate Corporation (The)D,203.80 USD,0.0016,2.35 M,1.74,53.97 B USD,13.16,15.49 USD,—,1.79%,Finance,Buy
AM,Antero Midstream CorporationD,15.77 USD,−0.06%,3.59 M,1.28,7.59 B USD,19.61,0.80 USD,0.0954,5.71%,Industrial services,Neutral
